model,ch,seed,fold,acc_A,f1_A,acc_B,f1_B
M24,62ch,7,11,0.3772455089820359,0.35361318989324547,0.3734406438631791,0.35213454109105075
M24,6ch,7,11,0.34810379241516964,0.33775582788344455,0.3488933601609658,0.3399707313394728
M21,62ch,7,12,0.4219560878243513,0.40135253609436905,0.42374245472837024,0.4063124355542622
M21,6ch,7,12,0.281437125748503,0.2531555011310583,0.2812877263581489,0.25294272461192707
M23,62ch,7,12,0.45189620758483035,0.449680001855771,0.45553319919517105,0.4533936250121179
M23,6ch,7,12,0.3441117764471058,0.32990058760935353,0.3420523138832998,0.32941377886730927
M24,62ch,7,12,0.30538922155688625,0.29487294272007225,0.3062374245472837,0.2948634164225716
M24,6ch,7,12,0.24910179640718563,0.22939796479079094,0.2442655935613682,0.22633194006321572
M21,62ch,7,13,0.281437125748503,0.24926218095251224,0.3448692152917505,0.3308351365837806
M21,6ch,7,13,0.350499001996008,0.3152821037035273,0.4072434607645875,0.38338482715788424
M23,62ch,7,13,0.32455089820359284,0.3080755121664744,0.32756539235412474,0.3123265263190868
M23,6ch,7,13,0.2782435129740519,0.23370886720573525,0.27645875251509056,0.23224362050634867
M24,62ch,7,13,0.3385229540918164,0.3229156258501277,0.3352112676056338,0.3225139441918721
M24,6ch,7,13,0.2970059880239521,0.24445800398065926,0.31951710261569416,0.28535032977958474
M21,62ch,7,14,0.4694610778443114,0.44588340006800253,0.496579476861167,0.47139834354178406
M21,6ch,7,14,0.43353293413173655,0.39265629211876857,0.45995975855130783,0.4162232375532265
M23,62ch,7,14,0.46706586826347307,0.4494098446314569,0.47525150905432595,0.45667030027869127
M23,6ch,7,14,0.40758483033932136,0.3875465932665367,0.4080482897384306,0.3881614702691707
M24,62ch,7,14,0.4403193612774451,0.40703694060957873,0.42937625754527164,0.38939248895984296
M24,6ch,7,14,0.43832335329341315,0.41499779148374766,0.489738430583501,0.4670754418891238
M21,62ch,7,15,0.4407185628742515,0.4323758618319659,0.44104627766599597,0.431135204036478
M21,6ch,7,15,0.4467065868263473,0.4610596335271348,0.5223340040241449,0.5346541301374752
M23,62ch,7,15,0.49021956087824353,0.4652609565259083,0.49818913480885313,0.4745962759710961
M23,6ch,7,15,0.3784431137724551,0.378874917943293,0.3810865191146881,0.3812441888731344
M24,62ch,7,15,0.5305389221556887,0.5327807371438946,0.5464788732394367,0.549622619408365
