model,ch,seed,fold,acc_A,f1_A,acc_B,f1_B
M16,6ch,7,12,0.28582834331337326,0.28593668628328484,0.28450704225352114,0.28450996646934285
M17,62ch,7,12,0.3664670658682635,0.37285438293539397,0.3585513078470825,0.35400124752387957
M17,6ch,7,12,0.3281437125748503,0.3264797635731058,0.33722334004024146,0.33045274429180094
M18,62ch,7,12,0.3397205588822355,0.3342818835896185,0.3468812877263581,0.34055331283524526
M18,6ch,7,12,0.32375249500998005,0.3181213832145534,0.32474849094567404,0.3195715473461552
M19,62ch,7,12,0.5816367265469062,0.5757409635600368,0.5678068410462777,0.5624633313775412
M19,6ch,7,12,0.3081836327345309,0.30801268573591845,0.30422535211267604,0.30345589003793116
M20,62ch,7,12,0.405189620758483,0.40140061827804063,0.4535211267605634,0.4471688289051289
M20,6ch,7,12,0.3033932135728543,0.2957390761538264,0.29979879275653926,0.293525268569757
M11,62ch,7,13,0.4906187624750499,0.4940013606294846,0.4949698189134809,0.48292171083226765
M11,6ch,7,13,0.2754491017964072,0.2595233553822954,0.3235412474849095,0.3118854720731474
M12,62ch,7,13,0.405189620758483,0.39364605990038914,0.3955734406438632,0.3926949119471703
M12,6ch,7,13,0.3085828343313373,0.3093842171832146,0.39154929577464787,0.3777628664998391
M13,62ch,7,13,0.38802395209580837,0.3846285388470707,0.39798792756539236,0.39716924842515733
M13,6ch,7,13,0.21716566866267464,0.2158952435112347,0.27605633802816903,0.2687314394472624
M14,62ch,7,13,0.3141716566866267,0.304530460679203,0.28450704225352114,0.2839487775777677
M14,6ch,7,13,0.36447105788423156,0.3052062732819414,0.38551307847082494,0.33889993914561556
M15,62ch,7,13,0.40199600798403196,0.37866964928271973,0.38028169014084506,0.36802703189270497
M15,6ch,7,13,0.2966067864271457,0.28600809438929176,0.3154929577464789,0.3040333515528458
M16,62ch,7,13,0.4375249500998004,0.42692805828183605,0.43661971830985913,0.42610026439681603
M16,6ch,7,13,0.3325349301397206,0.2875891296440396,0.317907444668008,0.30170405647519705
M17,62ch,7,13,0.3409181636726547,0.32871716886030017,0.3835010060362173,0.3737929707922575
M17,6ch,7,13,0.31736526946107785,0.3036048960916103,0.31388329979879276,0.29635559575625914
M18,62ch,7,13,0.3437125748502994,0.336041114254361,0.4181086519114688,0.40964020204919527
M18,6ch,7,13,0.31137724550898205,0.2713947822100301,0.3392354124748491,0.3216082150052907
M19,62ch,7,13,0.4558882235528942,0.45458476904836304,0.503420523138833,0.49270966272293315
M19,6ch,7,13,0.34970059880239523,0.34448664590534117,0.35694164989939636,0.35428229891440466
M20,62ch,7,13,0.4127744510978044,0.3844951691109386,0.43822937625754527,0.412381530264869
M20,6ch,7,13,0.27345309381237526,0.2627437561608298,0.2635814889336016,0.249094156326504
M11,62ch,7,14,0.47944111776447107,0.47317495034015544,0.5215291750503018,0.5207102917723534
M11,6ch,7,14,0.45868263473053894,0.4383951251472356,0.46559356136820923,0.4456427681766407
M12,62ch,7,14,0.43233532934131735,0.42905749508103314,0.5255533199195171,0.5271163718185718
M12,6ch,7,14,0.4722554890219561,0.46236478109227996,0.4535211267605634,0.42720227812914546
M13,62ch,7,14,0.48542914171656687,0.47183833139561293,0.48933601609657945,0.48337025339591466
M13,6ch,7,14,0.45149700598802395,0.45364004061177976,0.5380281690140845,0.5294029432850167
M14,62ch,7,14,0.39560878243512976,0.377871675258629,0.3665995975855131,0.34940947122294236
M14,6ch,7,14,0.5289421157684631,0.5017818504086533,0.5372233400402414,0.5173722934731886
M15,62ch,7,14,0.44590818363273454,0.43040209764083687,0.4358148893360161,0.4146149802486391
M15,6ch,7,14,0.4786427145708583,0.48193894658592956,0.4647887323943662,0.4723364947140519
M16,62ch,7,14,0.49101796407185627,0.47694151279870134,0.5211267605633803,0.5133714298822634
M16,6ch,7,14,0.45269461077844314,0.429550007594997,0.44909456740442655,0.43230763818827034
M17,62ch,7,14,0.42594810379241516,0.4123717347552748,0.49175050301810863,0.48592233048290717
M17,6ch,7,14,0.4630738522954092,0.4597675144689514,0.4567404426559356,0.4404422807341542
M18,62ch,7,14,0.47744510978043914,0.45864291323340195,0.49175050301810863,0.4790813321095855
M18,6ch,7,14,0.4558882235528942,0.42675590734024055,0.4659959758551308,0.44419400406781356
M19,62ch,7,14,0.5297405189620759,0.5259667629907608,0.5319919517102616,0.5236819445410509
M19,6ch,7,14,0.49181636726546907,0.4785367593400176,0.4921529175050302,0.48221616099674747
M20,62ch,7,14,0.4235528942115768,0.4122567579088869,0.4245472837022133,0.4170558645885062
M20,6ch,7,14,0.3720558882235529,0.3677821617068526,0.38551307847082494,0.382428552600687
M11,62ch,7,15,0.5972055888223553,0.5876816742885383,0.6024144869215292,0.5928244556887565
M11,6ch,7,15,0.4043912175648703,0.40331883001580426,0.4249496981891348,0.42207516316461313
M12,62ch,7,15,0.4594810379241517,0.4621629563463344,0.5215291750503018,0.5191115292965036
M12,6ch,7,15,0.39520958083832336,0.39376061746573726,0.46036217303822935,0.4454883835560638
M13,62ch,7,15,0.5612774451097804,0.5582810412448257,0.5875251509054326,0.5801828612274258
M13,6ch,7,15,0.23792415169660677,0.25047949593077523,0.24064386317907444,0.24043239004612713
M14,62ch,7,15,0.5333333333333333,0.5341305827873829,0.5480885311871228,0.5479203628797205
M14,6ch,7,15,0.4235528942115768,0.3928866962482946,0.49255533199195173,0.4837540732550222
M15,62ch,7,15,0.41996007984031936,0.41108665070745826,0.44104627766599597,0.43003700819812174
M15,6ch,7,15,0.35608782435129743,0.36263710657831233,0.39436619718309857,0.3884481361425439
M16,62ch,7,15,0.4942115768463074,0.49401789584456157,0.5018108651911469,0.4999589286306654
M16,6ch,7,15,0.3377245508982036,0.32810044613412936,0.352112676056338,0.34014967413194824
M17,62ch,7,15,0.4682634730538922,0.45989913076643224,0.4426559356136821,0.42338613821605453
M17,6ch,7,15,0.39600798403193616,0.40879265757972405,0.4430583501006036,0.4645938876293567
M18,62ch,7,15,0.5013972055888224,0.4989475765519089,0.5223340040241449,0.5196761686650706
M18,6ch,7,15,0.4499001996007984,0.4396339676209888,0.4704225352112676,0.45681490056719376
M19,62ch,7,15,0.6027944111776448,0.5934036226799269,0.5879275653923541,0.5851351769557215
M19,6ch,7,15,0.3473053892215569,0.35992168688524495,0.406841046277666,0.414080479102121
M20,62ch,7,15,0.45868263473053894,0.4412844584494733,0.46559356136820923,0.44596337355939597
M20,6ch,7,15,0.5021956087824351,0.4984039182292092,0.5340040241448692,0.5339816054294461
M11,62ch,21,1,0.4059880239520958,0.40797198500989684,0.4040241448692153,0.3994354836323361
M11,6ch,21,1,0.46706586826347307,0.46457731108239864,0.5010060362173038,0.5019196128265817
M12,62ch,21,1,0.3508982035928144,0.3400188889832191,0.31951710261569416,0.3172309469360573
M12,6ch,21,1,0.4658682634730539,0.46226879733720116,0.4651911468812877,0.4635639546511646
M13,62ch,21,1,0.4483033932135729,0.44275678413187264,0.42977867203219317,0.4188926486556041
M13,6ch,21,1,0.45828343313373254,0.44734445673217804,0.46438631790744467,0.4570724947402142
M14,62ch,21,1,0.4367265469061876,0.4375783029662364,0.4052313883299799,0.40383779720502466
M14,6ch,21,1,0.3848303393213573,0.3632831056066037,0.4016096579476861,0.38600005346211763
M15,62ch,21,1,0.3500998003992016,0.30094377437369096,0.4020120724346076,0.35211145241086705
M15,6ch,21,1,0.4562874251497006,0.449239370602493,0.4535211267605634,0.44783222033185777
M16,62ch,21,1,0.34970059880239523,0.3444071326701253,0.3408450704225352,0.3351026281668711
M16,6ch,21,1,0.3908183632734531,0.3743140635579115,0.41770623742454727,0.41185453623933366
M17,62ch,21,1,0.33572854291417165,0.31192471036481284,0.3851106639839034,0.3623886501619137
M17,6ch,21,1,0.3588822355289421,0.34124466364771383,0.45432595573440643,0.4368346551042287
M18,62ch,21,1,0.4606786427145709,0.43636100672922185,0.4659959758551308,0.4322682371648153
M18,6ch,21,1,0.4343313373253493,0.4174348130149081,0.4329979879275654,0.4206474007853862
M19,62ch,21,1,0.45069860279441115,0.4490684125288865,0.406841046277666,0.392184350591246
M19,6ch,21,1,0.4602794411177645,0.4545991736747088,0.5074446680080483,0.5046771654367712
M20,62ch,21,1,0.30538922155688625,0.28624218579163374,0.31106639839034206,0.2891702212934365
M20,6ch,21,1,0.42035928143712575,0.4072653582013678,0.45875251509054327,0.4500913945568095
M11,62ch,21,2,0.5345309381237525,0.5385368419956,0.5468812877263581,0.5512262738957312
M11,6ch,21,2,0.36806387225548903,0.3513503196065101,0.36338028169014086,0.35262077382540025
M12,62ch,21,2,0.4379241516966068,0.43225253609095904,0.5138832997987928,0.5045048214916783
M12,6ch,21,2,0.3081836327345309,0.3072075163030851,0.3440643863179074,0.3399325976559253
M13,62ch,21,2,0.4606786427145709,0.45358702070271106,0.53158953722334,0.5239166283750387
M13,6ch,21,2,0.2998003992015968,0.25372595215411214,0.3299798792756539,0.31865606849626416
M14,62ch,21,2,0.46506986027944114,0.46481730487693745,0.48732394366197185,0.48399580022588795
M14,6ch,21,2,0.3852295409181637,0.38603945457847283,0.4160965794768612,0.38684039253943014
M15,62ch,21,2,0.3772455089820359,0.3629401334522462,0.4511066398390342,0.42293162696656467
M15,6ch,21,2,0.40838323353293415,0.40651749979588797,0.3468812877263581,0.3415435482708598
M16,62ch,21,2,0.39560878243512976,0.40033579392111873,0.47645875251509057,0.4621539716940737
M16,6ch,21,2,0.38203592814371257,0.3764418287644573,0.4056338028169014,0.3975193468341727
M17,62ch,21,2,0.34291417165668664,0.30695261459354717,0.3464788732394366,0.3136210206685585
